annot_id,PAD#,Camera,"Lighting (lightbox, benchtop, benchtop dark)",black/white background,API,Sample,mg concentration (w/w mg/mg or w/v mg/mL),% Conc,missing_card
20.0,81260,ipad,lightbox,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False
21.0,81260,ipad,no light,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False
22.0,80902,ipad,benchtop,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False
23.0,80902,ipad,lightbox,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False
24.0,80902,ipad,no light,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False
25.0,80909,nokia,benchtop,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False
26.0,80909,nokia,lightbox,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False
27.0,80909,nokia,no light,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False
28.0,80429,nokia,benchtop,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False
29.0,80429,nokia,lightbox,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False
30.0,80429,nokia,no light,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False
31.0,80909,ipad,benchtop,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False
32.0,80909,ipad,lightbox,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False
33.0,80909,ipad,no light,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False
34.0,80429,ipad,benchtop,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False
35.0,80429,ipad,lightbox,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False
36.0,80429,ipad,no light,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False
37.0,80908,nokia,benchtop,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False
38.0,80908,nokia,lightbox,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False
39.0,80908,nokia,no light,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False
40.0,80428,nokia,benchtop,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False
41.0,80428,nokia,lightbox,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False
42.0,80428,nokia,no light,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False
43.0,80908,ipad,benchtop,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False
44.0,80908,ipad,lightbox,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False
45.0,80908,ipad,no light,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False
46.0,80428,ipad,benchtop,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False
47.0,80428,ipad,lightbox,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False
48.0,80428,ipad,no light,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False
49.0,80907,nokia,benchtop,black,Hydroxyurea (oral),100 h1 5,0.8416982064,84.2,False
50.0,80907,nokia,lightbox,black,Hydroxyurea (oral),100 h1 5,0.8416982064,84.2,False
51.0,80907,nokia,lightbox,black,Hydroxyurea (oral),100 h1 5,0.8416982064,84.2,False
52.0,80907,nokia,no light,black,Hydroxyurea (oral),100 h1 5,0.8033057851,80.3,False
53.0,80427,nokia,benchtop,black,Hydroxyurea (oral),100 h2 5,0.8033057851,80.3,False
54.0,80427,nokia,lightbox,black,Hydroxyurea (oral),100 h2 5,0.8033057851,80.3,False
55.0,80427,nokia,no light,black,Hydroxyurea (oral),100 h2 5,0.8416982064,84.2,False
56.0,80907,ipad,benchtop,black,Hydroxyurea (oral),100 h1 5,0.8416982064,84.2,False
57.0,80907,ipad,no light,black,Hydroxyurea (oral),100 h1 5,0.8416982064,84.2,False
58.0,80427,ipad,benchtop,black,Hydroxyurea (oral),100 h2 5,0.8033057851,80.3,False
59.0,80427,ipad,lightbox,black,Hydroxyurea (oral),100 h2 5,0.8033057851,80.3,False
60.0,80427,ipad,no light,black,Hydroxyurea (oral),100 h2 5,0.8033057851,80.3,False
61.0,80906,nokia,benchtop,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False
62.0,80906,nokia,lightbox,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False
63.0,80906,nokia,no light,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False
64.0,80426,nokia,benchtop,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False
65.0,80426,nokia,lightbox,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False
66.0,80426,nokia,no light,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False
67.0,80906,ipad,benchtop,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False
68.0,80906,ipad,lightbox,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False
69.0,80906,ipad,no light,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False
70.0,80426,ipad,benchtop,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False
71.0,80426,ipad,lightbox,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False
72.0,80426,ipad,no light,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False
73.0,80905,nokia,benchtop,black,Hydroxyurea (oral),100 h1 7,0.8416982064,84.2,False
74.0,80905,nokia,lightbox,black,Hydroxyurea (oral),100 h1 7,0.8416982064,84.2,False
75.0,80905,nokia,no light,black,Hydroxyurea (oral),100 h1 7,0.8416982064,84.2,False
76.0,80425,nokia,benchtop,black,Hydroxyurea (oral),100 h2 7,0.8033057851,80.3,False
77.0,80425,nokia,lightbox,black,Hydroxyurea (oral),100 h2 7,0.8033057851,80.3,False
78.0,80425,nokia,no light,black,Hydroxyurea (oral),100 h2 7,0.8033057851,80.3,False
79.0,80425,nokia,benchtop,black,Hydroxyurea (oral),100 h2 7,0.8416982064,84.2,False
80.0,80905,ipad,lightbox,black,Hydroxyurea (oral),100 h1 7,0.8416982064,84.2,False
81.0,80905,ipad,no light,black,Hydroxyurea (oral),100 h1 7,0.8416982064,84.2,False
82.0,80905,ipad,benchtop,black,Hydroxyurea (oral),100 h1 7,0.8033057851,80.3,False
83.0,80425,ipad,lightbox,black,Hydroxyurea (oral),100 h2 7,0.8033057851,80.3,False
84.0,80425,ipad,no light,black,Hydroxyurea (oral),100 h2 7,0.8033057851,80.3,False
85.0,80904,nokia,benchtop,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False
86.0,80904,nokia,lightbox,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False
87.0,80904,nokia,no light,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False
88.0,80424,nokia,benchtop,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False
89.0,80424,nokia,lightbox,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False
90.0,80424,nokia,no light,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False
91.0,80904,nokia,benchtop,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False
92.0,80904,ipad,lightbox,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False
93.0,80904,nokia,no light,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False
94.0,80424,ipad,benchtop,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False
95.0,80424,ipad,lightbox,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False
96.0,80424,ipad,no light,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False
97.0,80423,nokia,benchtop,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False
98.0,80423,nokia,lightbox,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False
99.0,80423,nokia,no light,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False
100.0,81823,nokia,benchtop,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False
101.0,81823,nokia,lightbox,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False
102.0,81823,nokia,no light,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False
103.0,80423,ipad,benchtop,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False
104.0,80423,ipad,lightbox,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False
105.0,80423,ipad,no light,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False
106.0,81823,ipad,benchtop,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False
107.0,81823,ipad,lightbox,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False
108.0,81823,ipad,no light,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False
109.0,80783,nokia,benchtop,white,Hydroxyurea (oral),100 hydrea 2,0.9020522052,90.2,False
110.0,80783,nokia,lightbox,white,Hydroxyurea (oral),100 hydrea 2,0.9020522052,90.2,False
111.0,80783,nokia,no light,white,Hydroxyurea (oral),100 hydrea 2,0.9020522052,90.2,False
112.0,81822,nokia,benchtop,white,Hydroxyurea (oral),100 micro 2,0.8154976698,81.5,False
113.0,81822,nokia,lightbox,white,Hydroxyurea (oral),100 micro 2,0.8154976698,81.5,False
114.0,81822,nokia,no light,white,Hydroxyurea (oral),100 micro 2,0.8154976698,81.5,False
115.0,80783,ipad,benchtop,white,Hydroxyurea (oral),100 hydrea 2,0.9020522052,90.2,False
116.0,80783,ipad,lightbox,white,Hydroxyurea (oral),100 hydrea 2,0.9020522052,90.2,False
117.0,80783,ipad,no light,white,Hydroxyurea (oral),100 hydrea 2,0.9020522052,90.2,False
118.0,81822,ipad,benchtop,white,Hydroxyurea (oral),100 micro 2,0.8154976698,81.5,False
119.0,81822,ipad,lightbox,white,Hydroxyurea (oral),100 micro 2,0.8154976698,81.5,False
120.0,81822,ipad,no light,white,Hydroxyurea (oral),100 micro 2,0.8154976698,81.5,False
121.0,80784,nokia,benchtop,white,Hydroxyurea (oral),100 hydrea 3,0.9020522052,90.2,False
122.0,80784,nokia,lightbox,white,Hydroxyurea (oral),100 hydrea 3,0.9020522052,90.2,False
123.0,80784,nokia,no light,white,Hydroxyurea (oral),100 hydrea 3,0.9020522052,90.2,False
124.0,81565,nokia,benchtop,white,Hydroxyurea (oral),100 micro 3,0.8154976698,81.5,False
125.0,81565,nokia,lightbox,white,Hydroxyurea (oral),100 micro 3,0.8154976698,81.5,False
126.0,81565,nokia,no light,white,Hydroxyurea (oral),100 micro 3,0.8154976698,81.5,False
127.0,80784,ipad,benchtop,white,Hydroxyurea (oral),100 hydrea 3,0.9020522052,90.2,False
128.0,80784,ipad,lightbox,white,Hydroxyurea (oral),100 hydrea 3,0.9020522052,90.2,False
129.0,80784,ipad,no light,white,Hydroxyurea (oral),100 hydrea 3,0.9020522052,90.2,False
130.0,81565,ipad,benchtop,white,Hydroxyurea (oral),100 micro 3,0.8154976698,81.5,False
131.0,81565,ipad,lightbox,white,Hydroxyurea (oral),100 micro 3,0.8154976698,81.5,False
132.0,81565,ipad,no light,white,Hydroxyurea (oral),100 micro 3,0.8154976698,81.5,False
133.0,80785,nokia,benchtop,white,Hydroxyurea (oral),100 hydrea 4,0.9020522052,90.2,False
134.0,80785,nokia,lightbox,white,Hydroxyurea (oral),100 hydrea 4,0.9020522052,90.2,False
135.0,80785,nokia,no light,white,Hydroxyurea (oral),100 hydrea 4,0.9020522052,90.2,False
136.0,81564,nokia,benchtop,white,Hydroxyurea (oral),100 micro 4,0.8154976698,81.5,False
137.0,81564,nokia,lightbox,white,Hydroxyurea (oral),100 micro 4,0.8154976698,81.5,False
138.0,81564,nokia,no light,white,Hydroxyurea (oral),100 micro 4,0.8154976698,81.5,False
139.0,80785,ipad,benchtop,white,Hydroxyurea (oral),100 hydrea 4,0.9020522052,90.2,False
140.0,80785,ipad,lightbox,white,Hydroxyurea (oral),100 hydrea 4,0.9020522052,90.2,False
141.0,80785,ipad,no light,white,Hydroxyurea (oral),100 hydrea 4,0.9020522052,90.2,False
142.0,81564,ipad,benchtop,white,Hydroxyurea (oral),100 micro 4,0.8154976698,81.5,False
143.0,81564,ipad,lightbox,white,Hydroxyurea (oral),100 micro 4,0.8154976698,81.5,False
144.0,81564,ipad,no light,white,Hydroxyurea (oral),100 micro 4,0.8154976698,81.5,False
145.0,80326,nokia,benchtop,black,Hydroxyurea (oral),100 hydrea 5,0.9020522052,90.2,False
146.0,80326,nokia,lightbox,black,Hydroxyurea (oral),100 hydrea 5,0.9020522052,90.2,False
147.0,80326,nokia,no light,black,Hydroxyurea (oral),100 hydrea 5,0.9020522052,90.2,False
148.0,81563,nokia,benchtop,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False
149.0,81563,nokia,lightbox,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False
150.0,81563,nokia,no light,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False
151.0,80326,ipad,benchtop,black,Hydroxyurea (oral),100 hydrea 5,0.9020522052,90.2,False
152.0,80326,ipad,lightbox,black,Hydroxyurea (oral),100 hydrea 5,0.9020522052,90.2,False
153.0,80326,ipad,no light,black,Hydroxyurea (oral),100 hydrea 5,0.9020522052,90.2,False
154.0,81563,ipad,benchtop,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False
155.0,81563,ipad,lightbox,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False
156.0,81563,ipad,no light,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False
157.0,80329,nokia,benchtop,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False
158.0,80329,nokia,lightbox,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False
159.0,80329,nokia,no light,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False
160.0,81562,nokia,benchtop,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False
161.0,81562,nokia,lightbox,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False
162.0,81562,nokia,no light,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False
163.0,80329,ipad,benchtop,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False
164.0,80329,ipad,lightbox,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False
165.0,80329,ipad,no light,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False
166.0,81562,ipad,benchtop,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False
167.0,81562,ipad,lightbox,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False
168.0,81562,ipad,no light,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False
169.0,80743,nokia,benchtop,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False
170.0,80743,nokia,lightbox,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False
171.0,80743,nokia,no light,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False
172.0,81558,nokia,benchtop,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False
173.0,81558,nokia,lightbox,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False
174.0,81558,nokia,no light,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False
175.0,80743,ipad,benchtop,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False
176.0,80743,ipad,lightbox,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False
177.0,80743,ipad,no light,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False
178.0,81558,ipad,benchtop,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False
179.0,81558,ipad,lightbox,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False
180.0,81558,ipad,no light,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False
181.0,80327,nokia,benchtop,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False
182.0,80327,nokia,lightbox,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False
183.0,80327,nokia,no light,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False
184.0,81561,nokia,benchtop,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False
185.0,81561,nokia,lightbox,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False
186.0,81561,nokia,no light,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False
187.0,80327,ipad,benchtop,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False
188.0,80327,ipad,lightbox,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False
189.0,80327,ipad,no light,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False
190.0,81561,ipad,benchtop,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False
191.0,81561,ipad,lightbox,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False
192.0,81561,ipad,no light,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False
193.0,81454,nokia,benchtop,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False
194.0,81454,nokia,lightbox,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False
195.0,81454,nokia,no light,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False
196.0,81454,ipad,benchtop,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False
197.0,81454,ipad,lightbox,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False
198.0,81454,ipad,no light,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False
199.0,81457,nokia,benchtop,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False
200.0,81457,nokia,lightbox,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False
201.0,81457,nokia,no light,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False
202.0,81457,ipad,benchtop,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False
203.0,81457,ipad,lightbox,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False
204.0,81457,ipad,no light,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False
205.0,81829,nokia,benchtop,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False
206.0,81829,nokia,lightbox,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False
207.0,81829,nokia,no light,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False
208.0,81829,ipad,benchtop,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False
209.0,81829,ipad,lightbox,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False
210.0,81829,ipad,no light,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False
211.0,81828,nokia,benchtop,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False
212.0,81828,nokia,lightbox,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False
213.0,81828,nokia,no light,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False
214.0,81828,ipad,benchtop,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False
215.0,81828,ipad,lightbox,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False
216.0,81828,ipad,no light,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False
217.0,81827,nokia,benchtop,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False
218.0,81827,nokia,lightbox,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False
219.0,81827,nokia,no light,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False
220.0,81827,ipad,benchtop,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False
221.0,81827,ipad,lightbox,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False
222.0,81827,ipad,no light,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False
223.0,81826,nokia,benchtop,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False
224.0,81826,nokia,lightbox,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False
225.0,81826,nokia,no light,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False
226.0,81826,ipad,benchtop,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False
227.0,81826,ipad,lightbox,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False
228.0,81826,ipad,no light,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False
229.0,81825,nokia,benchtop,black,Hydroxyurea (oral),100 mix 7,0.6983250249,69.8,False
230.0,81825,nokia,lightbox,black,Hydroxyurea (oral),100 mix 7,0.6983250249,69.8,False
231.0,81825,nokia,no light,black,Hydroxyurea (oral),100 mix 7,0.6983250249,69.8,False
232.0,81825,ipad,benchtop,black,Hydroxyurea (oral),100 mix 7,0.6983250249,69.8,False
233.0,81825,ipad,lightbox,black,Hydroxyurea (oral),100 mix 7,0.6983250249,69.8,False
234.0,81825,ipad,no light,black,Hydroxyurea (oral),100 mix 7,0.6983250249,69.8,False
235.0,81824,nokia,benchtop,black,Hydroxyurea (oral),100 mix 8,0.6983250249,69.8,False
236.0,81824,nokia,lightbox,black,Hydroxyurea (oral),100 mix 8,0.6983250249,69.8,False
237.0,81824,nokia,no light,black,Hydroxyurea (oral),100 mix 8,0.6983250249,69.8,False
238.0,81824,ipad,benchtop,black,Hydroxyurea (oral),100 mix 8,0.6983250249,69.8,False
239.0,81824,ipad,lightbox,black,Hydroxyurea (oral),100 mix 8,0.6983250249,69.8,False
240.0,81824,ipad,no light,black,Hydroxyurea (oral),100 mix 8,0.6983250249,69.8,False
241.0,80788,nokia,benchtop,white,Hydroxyurea (oral),66 h1 1,0.5979168624,59.8,False
242.0,80788,nokia,lightbox,white,Hydroxyurea (oral),66 h1 1,0.5979168624,59.8,False
243.0,80788,nokia,no light,white,Hydroxyurea (oral),66 h1 1,0.5979168624,59.8,False
244.0,80448,nokia,benchtop,white,Hydroxyurea (oral),66 h2 1,0.5660315843,56.6,False
245.0,80448,nokia,lightbox,white,Hydroxyurea (oral),66 h2 1,0.5660315843,56.6,False
246.0,80448,nokia,no light,white,Hydroxyurea (oral),66 h2 1,0.5660315843,56.6,False
247.0,80788,ipad,benchtop,white,Hydroxyurea (oral),66 h1 1,0.5979168624,59.8,False
248.0,80788,ipad,lightbox,white,Hydroxyurea (oral),66 h1 1,0.5979168624,59.8,False
249.0,80788,ipad,no light,white,Hydroxyurea (oral),66 h1 1,0.5979168624,59.8,False
250.0,80448,ipad,benchtop,white,Hydroxyurea (oral),66 h2 1,0.5660315843,56.6,False
251.0,80448,ipad,lightbox,white,Hydroxyurea (oral),66 h2 1,0.5660315843,56.6,False
252.0,80448,ipad,no light,white,Hydroxyurea (oral),66 h2 1,0.5660315843,56.6,False
253.0,80790,nokia,benchtop,white,Hydroxyurea (oral),66 h1 2,0.5979168624,59.8,False
254.0,80790,nokia,lightbox,white,Hydroxyurea (oral),66 h1 2,0.5979168624,59.8,False
255.0,80790,nokia,no light,white,Hydroxyurea (oral),66 h1 2,0.5979168624,59.8,False
256.0,80449,nokia,benchtop,white,Hydroxyurea (oral),66 h2 2,0.5660315843,56.6,False
257.0,80449,nokia,lightbox,white,Hydroxyurea (oral),66 h2 2,0.5660315843,56.6,False
258.0,80449,nokia,no light,white,Hydroxyurea (oral),66 h2 2,0.5660315843,56.6,False
259.0,80790,ipad,benchtop,white,Hydroxyurea (oral),66 h1 2,0.5979168624,59.8,False
260.0,80790,ipad,lightbox,white,Hydroxyurea (oral),66 h1 2,0.5979168624,59.8,False
261.0,80790,ipad,no light,white,Hydroxyurea (oral),66 h1 2,0.5979168624,59.8,False
262.0,80449,ipad,benchtop,white,Hydroxyurea (oral),66 h2 2,0.5660315843,56.6,False
263.0,80449,ipad,lightbox,white,Hydroxyurea (oral),66 h2 2,0.5660315843,56.6,False
264.0,80449,ipad,no light,white,Hydroxyurea (oral),66 h2 2,0.5660315843,56.6,False
265.0,80793,nokia,benchtop,white,Hydroxyurea (oral),66 h1 3,0.5979168624,59.8,False
266.0,80793,nokia,lightbox,white,Hydroxyurea (oral),66 h1 3,0.5979168624,59.8,False
267.0,80793,nokia,no light,white,Hydroxyurea (oral),66 h1 3,0.5979168624,59.8,False
268.0,80450,nokia,benchtop,white,Hydroxyurea (oral),66 h2 3,0.5660315843,56.6,False
269.0,80450,nokia,lightbox,white,Hydroxyurea (oral),66 h2 3,0.5660315843,56.6,False
270.0,80450,nokia,no light,white,Hydroxyurea (oral),66 h2 3,0.5660315843,56.6,False
271.0,80793,ipad,benchtop,white,Hydroxyurea (oral),66 h1 3,0.5979168624,59.8,False
272.0,80793,ipad,lightbox,white,Hydroxyurea (oral),66 h1 3,0.5979168624,59.8,False
273.0,80793,ipad,no light,white,Hydroxyurea (oral),66 h1 3,0.5979168624,59.8,False
274.0,80450,ipad,benchtop,white,Hydroxyurea (oral),66 h2 3,0.5660315843,56.6,False
275.0,80450,ipad,lightbox,white,Hydroxyurea (oral),66 h2 3,0.5660315843,56.6,False
276.0,80450,ipad,no light,white,Hydroxyurea (oral),66 h2 3,0.5660315843,56.6,False
277.0,80792,nokia,benchtop,white,Hydroxyurea (oral),66 h1 4,0.5979168624,59.8,False
278.0,80792,nokia,lightbox,white,Hydroxyurea (oral),66 h1 4,0.5979168624,59.8,False
